sep=;
Time;Dewpoint;Air;Cletus Globe
2019-01-14T18:23:00.000Z;23.98238667;27.0620278;26.07187053
2019-01-14T18:23:30.000Z;23.978033;27.0620278;26.07187053
2019-01-14T18:24:00.000Z;23.968084;27.0502786;26.07187013
2019-01-14T18:24:30.000Z;23.961475;27.0502786;26.07187013
2019-01-14T18:25:00.000Z;23.958741;27.0374604;26.07187013
2019-01-14T18:25:30.000Z;24.0119045;27.0374604;26.07187013
2019-01-14T18:26:00.000Z;23.987564;27.0257112;26.0574498
2019-01-14T18:26:30.000Z;23.969871;27.0257112;26.0574498
2019-01-14T18:27:00.000Z;23.99248433;27.042801;26.04534393
2019-01-14T18:27:30.000Z;24.0004555;27.042801;26.04534393
2019-01-14T18:28:00.000Z;23.970804;27.0390634;26.04267373
2019-01-14T18:28:30.000Z;24.0076975;27.0390634;26.04267373
2019-01-14T18:29:00.000Z;24.01319933;27.093004;26.0423176
2019-01-14T18:29:30.000Z;23.9620125;27.093004;26.0423176
2019-01-14T18:30:00.000Z;23.96017967;27.047608;26.0501508
2019-01-14T18:30:30.000Z;23.9435915;27.047608;26.0501508
2019-01-14T18:31:00.000Z;23.96912633;27.031586;26.05121873
2019-01-14T18:31:30.000Z;23.9805275;27.031586;26.05121873
2019-01-14T18:32:00.000Z;23.97813567;27.0502786;26.047531
2019-01-14T18:32:30.000Z;23.9360215;27.0502786;26.047531
2019-01-14T18:33:00.000Z;23.931364;27.0038148;26.05032867
2019-01-14T18:33:30.000Z;23.970068;27.0038148;26.05032867
2019-01-14T18:34:00.000Z;23.98875233;27.039597;26.04124987
2019-01-14T18:34:30.000Z;23.944314;27.039597;26.04124987
2019-01-14T18:35:00.000Z;23.97166433;27.0000764;26.036443
2019-01-14T18:35:30.000Z;23.9833455;27.0000764;26.036443
2019-01-14T18:36:00.000Z;23.98959533;27.0315858;26.02878827
2019-01-14T18:36:30.000Z;23.9695855;27.0315858;26.02878827
2019-01-14T18:37:00.000Z;23.93486533;27.0177004;26.02237967
2019-01-14T18:37:30.000Z;23.940522;27.0177004;26.02237967
2019-01-14T18:38:00.000Z;23.94577267;26.977646;26.02558387
2019-01-14T18:38:30.000Z;23.9684545;26.977646;26.02558387
2019-01-14T18:39:00.000Z;23.94840333;26.9867248;26.015615
2019-01-14T18:39:30.000Z;23.9719545;26.9867248;26.015615
2019-01-14T18:40:00.000Z;23.98650333;26.966965;26.0104522
2019-01-14T18:40:30.000Z;23.98673;26.966965;26.0104522
2019-01-14T18:41:00.000Z;23.98394867;26.9861906;26.00404353
2019-01-14T18:41:30.000Z;23.966095;26.9861906;26.00404353
2019-01-14T18:42:00.000Z;23.963;26.9439996;25.99832143
2019-01-14T18:42:30.000Z;23.962198;26.9439996;25.99832143
2019-01-14T18:43:00.000Z;23.97559067;26.97818;25.98446147
2019-01-14T18:43:30.000Z;23.9623905;26.97818;25.98446147
2019-01-14T18:44:00.000Z;23.946944;26.952545;25.98641967
2019-01-14T18:44:30.000Z;23.9147545;26.952545;25.98641967
2019-01-14T18:45:00.000Z;23.949318;26.9439996;25.98695367
2019-01-14T18:45:30.000Z;23.9226325;26.9439996;25.98695367
2019-01-14T18:46:00.000Z;23.93764333;26.8905928;25.970754
2019-01-14T18:46:30.000Z;23.925362;26.8905928;25.970754
2019-01-14T18:47:00.000Z;23.931688;26.893263;25.94796707
2019-01-14T18:47:30.000Z;23.9260045;26.893263;25.94796707
2019-01-14T18:48:00.000Z;23.89921633;26.82063;25.940312
2019-01-14T18:48:30.000Z;23.8631615;26.82063;25.940312
2019-01-14T18:49:00.000Z;23.89524567;26.8206306;25.9444066
2019-01-14T18:49:30.000Z;23.880609;26.8206306;25.9444066
2019-01-14T18:50:00.000Z;23.90770567;26.854811;25.94618687
2019-01-14T18:50:30.000Z;23.8960915;26.854811;25.94618687
2019-01-14T18:51:00.000Z;23.8877745;26.8398574;25.95508807
2019-01-14T18:51:30.000Z;23.89915333;26.8398574;25.95508807
2019-01-14T18:52:00.000Z;23.9077655;26.8799116;25.9643452
2019-01-14T18:52:30.000Z;23.92297533;26.8799116;25.9643452
2019-01-14T18:53:00.000Z;23.925807;26.8937972;25.95960236
2019-01-14T18:53:30.000Z;23.916131;26.8937972;25.95960236
2019-01-14T18:54:00.000Z;23.919132;26.8628216;25.96042887
2019-01-14T18:54:30.000Z;23.89774067;26.8628216;25.96042887
2019-01-14T18:55:00.000Z;23.885025;26.8943312;25.95152773
